Time,Timestamp,Sample T (K),Setpoint T (K),Heater Power (%),MC Pressure (mbar),DL Pressure (mbar),Wavelength (nm),ITC502_P (%),ITC502_I (min),ITC502_D (min),Hamamatsu (V)
2026-03-02 11:01:07.318943,1772445667.318943,,,,,,,,,,
2026-03-02 11:01:08.319485,1772445668.319485,,,,,,,,,,
2026-03-02 11:01:09.319182,1772445669.319182,,,,,,,,,,
2026-03-02 11:01:10.318751,1772445670.318751,,,,,,,,,,
2026-03-02 11:01:11.319580,1772445671.31958,,,,,,,,,,
2026-03-02 11:01:12.319521,1772445672.319521,,,,,,,,,,
2026-03-02 11:01:13.319101,1772445673.319101,,,,,,,,,,
2026-03-02 11:01:14.319128,1772445674.319128,,,,,,,,,,
2026-03-02 11:01:15.318359,1772445675.318359,,,,,,,,,,
2026-03-02 11:01:16.319672,1772445676.319672,,,,,,,,,,
2026-03-02 11:01:17.319092,1772445677.319092,,,,,,,,,,
2026-03-02 11:01:18.318843,1772445678.318843,,,,,,,,,,
2026-03-02 11:01:19.319509,1772445679.319509,,,,,,,,,,
